variant,metric,mean,ci_lo,ci_hi,std,sessions
noise,zero_share_0.1s,0.6026890756302521,0.5952205882352941,0.6100632878151261,0.01524250224623113,16
noise,zero_share_1s,0.2379201680672269,0.22846376050420167,0.24600840336134452,0.01828736965237428,16
noise,spread_q99_minus_median,4.0,4.0,4.0,0.0,16
informed,acf_abs10_0.1s,0.04482499882310466,0.03800405173105896,0.05222709458418561,0.014840999589043755,16
informed,acf_abs10_1s,0.0006719479492896599,-0.02041732425706494,0.022875106608560753,0.04618808278286358,16
informed,acf_abs1_0.1s,0.2580867833376722,0.24531209027708056,0.27090511135623835,0.026105455881367888,16
informed,acf_abs1_1s,0.11878627954434597,0.09224388787587823,0.1483207693156849,0.05961449425102665,16
informed,acf_abs50_0.1s,0.00024180577420251687,-0.005822948309869485,0.006558589728033252,0.01301023978000048,16
informed,acf_abs50_1s,-0.014636442468468637,-0.03349387201482325,0.005444593787042851,0.04153692296104736,16
informed,acf_ret1_0.1s,-0.061415505504597526,-0.07119806181886928,-0.05154924635973599,0.020607269127462222,16
informed,acf_ret1_1s,0.004818919896255932,-0.01803887996683384,0.027499379782119672,0.04818761373674528,16
informed,arrival_cv,0.9979370672563113,0.9940712405026644,1.002204059155698,0.008484356895729713,16
informed,fano_0.1s,0.9982132306470068,0.9881537496395918,1.0080497803478314,0.02099194824201154,16
informed,fano_0.3s,0.9952880978744443,0.9773194598161523,1.0140555231095985,0.03886489653205505,16
informed,fano_10s,1.1347163665331461,1.0536912774827232,1.2190210589569102,0.17425992069061003,16
informed,fano_1s,1.0248453067712264,0.9969637045027746,1.0516603680650298,0.05792590626062317,16
informed,fano_3s,1.0561834948479423,1.0107434573286043,1.1025397806783623,0.09709380050414168,16
informed,hill1_0.1s,3.4003541580264987,3.2134834736019533,3.5792105942314607,0.38650270822246346,16
informed,hill1_1s,4.050496150062415,3.5051443482648756,4.627572201795087,1.1584231354586039,16
informed,hill5_0.1s,2.5638935266038416,2.4590867305458644,2.6779058018860002,0.23272474853639155,16
informed,hill5_1s,3.409027001897062,3.0578781964817363,3.767873851136013,0.7508261615367656,16
informed,kurt_0.1s,21.297961492672343,18.591923715170513,24.267223175417925,5.966074884428198,16
informed,kurt_1s,5.77991172311882,4.505533235567092,7.024732388147131,2.662234418821406,16
informed,n_aggressive,11437.25,11373.1859375,11502.3828125,132.9699214108213,16
informed,sign_acf1,0.04412863289350512,0.039858324414348494,0.048159549821807875,0.008655260263477071,16
informed,sign_acf10,0.03670451925118883,0.032889709003999124,0.04033372356175396,0.007855660322732197,16
informed,sign_gamma,0.31802279416722345,0.27539723641032776,0.3604771941925211,0.08871424865982365,16
informed,sign_r2,0.2454115474345615,0.20278264563499562,0.2939328687595616,0.09477446244764952,16
informed,size_hill5,3.8266448825317925,3.7278237353367625,3.9282984390390565,0.21231086705756524,16
informed,spread_mean,1.863877282199961,1.8416377382270435,1.884627039860137,0.04518625616979245,16
informed,spread_median,1.0,1.0,1.0,0.0,16
informed,spread_q99,7.0625,7.0,7.1875,0.25,16
informed,zero_share_0.1s,0.4709243697478992,0.4640961134453781,0.4777836134453781,0.014215878074074187,16
informed,zero_share_1s,0.14201680672268907,0.13592436974789918,0.1486370798319328,0.013361080278555825,16
informed,spread_q99_minus_median,6.0625,6.0,6.1875,0.25,16
hawkes,acf_abs10_0.1s,0.04475277029536064,0.03588535949722968,0.05387701000329972,0.01912836159322177,16
hawkes,acf_abs10_1s,0.00037251244789772474,-0.012337695502427406,0.013223788098005292,0.027788091973846043,16
hawkes,acf_abs1_0.1s,0.2604063755199332,0.2505574344247188,0.27021236485491806,0.020733073371635772,16
hawkes,acf_abs1_1s,0.12075432745543062,0.09280667711571088,0.1486798228497795,0.05933049717018495,16
hawkes,acf_abs50_0.1s,-0.0008186005647593188,-0.0065401459526026025,0.004797704678760033,0.011950482004885809,16
hawkes,acf_abs50_1s,-0.014088540135134078,-0.028516071570448956,0.00023862905426590608,0.030187066311483907,16
hawkes,acf_ret1_0.1s,-0.04886210936814544,-0.06430169495097819,-0.03268621466353655,0.0325594766542147,16
