window,latency_ms,arm,n_fills,pnl_gross_usd,notional_usd,killed,pnl_edge_usd,pnl_inventory_usd,inv_abs_mean_btc,inv_max_abs_btc,eff_half_spread_ticks,postfill_500ms_ticks,postfill_100ms_ticks,fill_rate_orders,quote_lifetime_s,sharpe_1s,max_drawdown_usd,touch_fidelity,pnl_net_A_0bps_usd,pnl_net_A_0bps_bps,pnl_net_B_1/2.5bps_usd,pnl_net_B_1/2.5bps_bps,pnl_gross_bps
2,10.0,AS_scaled,30,0.04015000000001123,2189.743,0.0,0.02755,0.01260000000001123,0.0040722489811041125,0.007,10.203703703703704,-50.7037037037037,-35.55555555555556,0.0481283422459893,0.9525356046511628,0.017751908624056064,0.13345000000003893,nan,0.04015000000001123,0.18335485031810234,-0.17882429999998878,-0.8166451496818978,0.18335485031810234
2,10.0,adaptive_off,30,0.04065000000005625,2189.7393,0.0,0.0262,0.014450000000056251,0.0040722489811041125,0.007,9.703703703703704,-50.01851851851852,-34.870370370370374,0.19285714285714287,3.7244032028985514,0.017875818636451764,0.13384999999993852,nan,0.04065000000005625,0.18563853697130178,-0.1783239299999438,-0.8143614630286983,0.18563853697130178
2,10.0,adaptive_inventory,32,-0.059825462499965454,2282.6836389670007,0.0,0.026747785500000003,-0.08657324799996546,0.0017644910781771026,0.00454296,9.503251624657633,-46.64546241676861,-32.720173396295664,0.19718309859154928,3.6710545857142853,-0.05155515565091444,0.09843847399997685,nan,-0.059825462499965454,-0.26208389756119993,-0.28809382639666553,-1.2620838975611999,-0.26208389756119993
2,10.0,adaptive_full,15,-0.04053680149998229,1093.107295435,0.0,0.0156884485,-0.05622524999998229,0.0008811552908484625,0.00238426,11.64041329408788,-37.57385196292803,-31.421621256650866,0.050980392156862744,2.046798418972332,-0.058541161824897464,0.05848729649999029,nan,-0.04053680149998229,-0.37084009656939254,-0.1498475310434823,-1.3708400965693928,-0.37084009656939254
3,0.0,AS_scaled,49,-0.7732977359999609,3185.059678264,0.0,0.090474156,-0.8637718919999609,0.005827188266666667,0.01,23.049565881993274,-35.58101599918476,-18.965616019565882,0.05067567567567568,0.6032220327313771,-0.14711484510116887,0.78089273599997,nan,-0.7732977359999609,-2.4278908846739182,-1.0918037038263608,-3.4278908846739182,-2.4278908846739182
3,0.0,adaptive_off,42,-0.7477992480000069,2714.137266752,0.0,0.076234356,-0.8240336040000069,0.005299909540740741,0.01,22.789177328709794,-40.154072701183786,-23.966058830563195,0.24203821656050956,2.655201,-0.1299405957314493,0.8135628480000605,nan,-0.7477992480000069,-2.755200546267492,-1.0192129746752068,-3.7552005462674916,-2.755200546267492
3,0.0,adaptive_inventory,49,-0.5970791994997171,2672.169786792,0.0,0.075400192,-0.6724793914997171,0.00450798415925926,0.0073676900000000005,22.89649383906721,-35.108124165487176,-19.931295054582492,0.22564102564102564,2.7407024145077723,-0.15134317841846892,0.6002679004997162,nan,-0.5970791994997171,-2.2344358597681926,-0.8642961781789171,-3.234435859768193,-2.2344358597681926
3,0.0,adaptive_full,27,-0.5146872664999478,1838.86528034,0.0,0.063516564,-0.5782038304999477,0.0038959692703703706,0.00538969,28.02715321471452,-18.522197894231486,-13.627558686129648,0.09774436090225563,1.9662878787878788,-0.1570915029747589,0.521137971499968,nan,-0.5146872664999478,-2.7989394981930587,-0.6985737945339479,-3.798939498193059,-2.7989394981930587
3,10.0,AS_scaled,39,-0.3650999999998277,2271.8735,0.0,0.03665,-0.4017499999998277,0.00526074074074074,0.01,13.089285714285714,-72.41071428571429,-48.660714285714285,0.03594351732991014,0.6785559343629344,-0.07865016393862886,0.5489999999998645,nan,-0.3650999999998277,-1.6070437020363486,-0.5922873499998277,-2.6070437020363486,-1.6070437020363486
3,10.0,adaptive_off,36,-0.3139999999997656,2109.4799000000003,0.0,0.0352,-0.3491999999997656,0.006361851851851852,0.01,13.538461538461538,-66.23076923076923,-46.36538461538461,0.1780821917808219,3.0993903402777776,-0.06312426458523278,0.5836499999998068,nan,-0.3139999999997656,-1.4885185680117907,-0.5249479899997656,-2.4885185680117905,-1.4885185680117907
