env,gamma,seed,pnl_net,pnl_gross,fees,pnl_edge,pnl_inventory,pnl_realized,pnl_unrealized,pnl_vol_1s,sharpe_1s,sharpe_ann_247,max_drawdown,pnl_1s_q05,pnl_1s_cvar05,pnl_1s_worst,inv_mean,inv_std,inv_abs_mean,inv_max_abs,inv_q05,inv_q95,inv_final,n_fills,n_maker_fills,n_taker_fills,filled_qty,n_quotes,n_cancels,n_rejects,fill_rate_orders,fill_ratio_qty,cancel_rate,quote_to_trade,quote_lifetime_mean_s,quote_lifetime_median_s,avg_edge_ticks,pnl_per_lot,killed,kill_time_s,sigma_hat_final,n_sigma_clamped,n_offset_clamped,market_trades,mid_max_dev_ticks,diverged,market_spread_mean,guarded,crashed
noise,0.1,4200003,-0.2299999999993645,-0.2299999999993645,0.0,9.98,-10.209999999999365,-0.23000000000005408,6.895872761703004e-13,0.12295330658156792,-0.010689307598329438,-60.02786236439042,1.899999999999892,-0.06999999999992638,-0.29222222222218697,-1.4449999999998795,-0.025128498001142203,1.879112751327946,1.0211307824100515,13.0,-4.0,3.0,0.0,303,303,0,1082.0,1357,1195,0,0.19896831245394253,0.15946941783345614,0.8806190125276345,8.422442244224422,0.25738911882656823,0.147741117,0.922365988909427,-0.00021256931608074352,0.0,nan,1.666997572177849,0.0,11.0,4675.0,32.0,0.0,1.2611428571428571,,
noise,0.1,4200004,-0.6300000000000523,-0.6300000000000523,0.0,12.245000000000001,-12.875000000000053,-0.6300000000000909,3.863576125695545e-14,0.05817788812483408,-0.061879179805833934,-347.49443352032245,1.2649999999998869,-0.11449999999997969,-0.19111111111107468,-0.2899999999999494,-0.04397487150199886,1.7696621518991342,1.0513992004568817,6.0,-4.0,3.0,0.0,387,387,0,1410.0,1646,1437,0,0.20899149453219928,0.17132442284325639,0.8730255164034022,7.96640826873385,0.21289537712895376,0.113536601,0.8684397163120567,-0.000446808510638335,0.0,nan,2.4715083155823674,0.0,7.0,4938.0,38.5,0.0,1.3049685893774985,,
noise,0.1,4200005,-1.3149999999997561,-1.3149999999997561,0.0,13.02,-14.334999999999756,-1.3100000000003993,-0.004999999999356852,0.06459394451733573,-0.11633111695582604,-653.2797576534775,1.5099999999998772,-0.1365000000000265,-0.22777777777778063,-0.37999999999999545,0.07766990291262135,1.9775202808052148,1.203883495145631,11.0,-3.0,4.0,1.0,422,422,0,1467.0,1658,1440,0,0.2189384800965018,0.17696019300361882,0.8685162846803377,7.341232227488152,0.21133153953623188,0.123635497,0.8875255623721882,-0.0008963871847305768,0.0,nan,2.660567178672719,0.0,31.0,4897.0,47.5,0.0,1.2912621359223302,,
noise,0.1,4200006,-1.4650000000001455,-1.4650000000001455,0.0,12.135,-13.600000000000145,-1.4799999999997637,0.014999999999618208,0.05941336091187286,-0.1409014478047563,-791.2591753921554,1.9300000000002342,-0.1274999999999508,-0.199444444444462,-0.2750000000000199,-0.11878926327812679,1.987868953752213,1.203883495145631,9.0,-3.0,4.0,3.0,408,408,0,1399.0,1645,1441,0,0.2133738601823708,0.17009118541033436,0.8759878419452888,7.563725490196078,0.2128829918277541,0.101937557,0.8674052894924946,-0.0010471765546820196,0.0,nan,2.8497113102236025,0.0,8.0,4911.0,32.5,0.0,1.315037164093768,,
noise,0.1,4200007,-2.2000000000000455,-2.2000000000000455,0.0,11.035,-13.235000000000046,-2.200000000000127,8.171241461241152e-14,0.16641318984291467,-0.07554346253019728,-424.22884079048004,2.8050000000000637,-0.08650000000003927,-0.3949999999999913,-2.07499999999996,0.07652769845802398,1.8183884155210346,1.0131353512278698,8.0,-3.0,3.0,0.0,333,333,0,1178.0,1501,1325,0,0.19586942038640906,0.1569620253164557,0.882744836775483,8.486486486486486,0.23345258436424282,0.119943893,0.9367572156196944,-0.0018675721561969825,0.0,nan,2.467374543889477,0.0,74.0,4723.0,29.5,0.0,1.2941176470588236,,
noise,0.1,4200008,-0.8950000000001097,-0.8950000000001097,0.0,11.97,-12.86500000000011,-0.9099999999999997,0.01499999999988999,0.08427165004698518,-0.0606880927504671,-340.80565511574724,1.1700000000001722,-0.09149999999999067,-0.24388888888889604,-0.8099999999999454,-0.02741290691033695,1.84255864928439,1.0496858937749858,15.0,-3.0,4.0,1.0,363,363,0,1309.0,1513,1321,0,0.21348314606741572,0.17303370786516853,0.8730998017184401,7.807162534435261,0.23153917536929183,0.108819213,0.9144385026737968,-0.0006837280366692969,0.0,nan,2.1790202566686334,0.0,23.0,4705.0,29.0,0.0,1.280411193603655,,
noise,0.1,4200009,-0.08999999999980446,-0.08999999999980446,0.0,12.375,-12.464999999999804,-0.1099999999999818,0.020000000000177348,0.05786198970150758,-0.00888814430574615,-49.91308353251554,0.744999999999834,-0.08149999999998271,-0.1850000000000149,-0.3199999999999932,0.13649343232438607,1.8766012495884326,1.107367218732153,12.0,-3.0,3.0,-2.0,382,382,0,1330.0,1564,1377,0,0.21419437340153452,0.170076726342711,0.8804347826086957,7.698952879581152,0.22402092414788735,0.1062677455,0.9304511278195489,-6.766917293218381e-05,0.0,nan,1.9000830796429944,0.0,6.0,4883.0,36.5,0.0,1.3129640205596802,,
noise,0.1,4200010,-1.389999999999759,-1.389999999999759,0.0,11.915000000000001,-13.30499999999976,-1.3928571428569922,0.0028571428572332636,0.10208345212954764,-0.07780748962893602,-436.9429203341896,2.534999999999826,-0.09650000000001455,-0.2766666666666566,-1.1149999999999523,-0.012564249000571102,1.633760677100876,0.9160479725870931,7.0,-3.0,3.0,4.0,346,346,0,1272.0,1532,1342,0,0.20430809399477806,0.16605744125326372,0.8759791122715405,8.306358381502891,0.22870322576470586,0.116989989,0.9367138364779874,-0.0010927672955972948,0.0,nan,3.4031578899370527,0.0,39.0,4656.0,25.5,0.0,1.2792689891490576,,
noise,0.1,4200011,-2.009999999999934,-2.009999999999934,0.0,14.790000000000001,-16.799999999999933,-2.010000000000145,2.1094237467877974e-13,0.08307709043812955,-0.1382536897373377,-776.3901808026418,2.099999999999966,-0.15149999999999295,-0.25555555555556947,-0.41500000000000625,-0.0211307824100514,1.8582272892490563,1.0662478583666477,9.0,-4.0,4.0,0.0,447,447,0,1630.0,1803,1555,0,0.22074320576816417,0.1808097615085968,0.8624514697726012,7.512304250559284,0.19407098080344257,0.1,0.907361963190184,-0.0012331288343557878,0.0,nan,2.938154861005911,0.0,45.0,4982.0,36.5,0.0,1.3218982275586049,,
noise,0.1,4200012,-6.779999999999973,-6.779999999999973,0.0,11.715,-18.494999999999973,-6.780000000000149,1.758593271006248e-13,0.3752169749959604,-0.1032545426370278,-579.8457399506639,7.015000000000015,-0.10000000000000284,-0.8994444444444143,-3.5999999999999375,0.045688178183894916,1.8359853879593593,0.9171901770416905,11.0,-3.0,3.5,0.0,300,300,0,1106.0,1495,1323,0,0.17859531772575252,0.1479598662207358,0.8849498327759198,9.393333333333333,0.23430371576490291,0.128479454,1.0592224231464737,-0.006130198915009017,0.0,nan,6.30361104771699,1.0,161.0,4756.0,148.0,0.0,1.3329525985151343,,
noise,0.1,4200013,0.3599999999997294,0.3599999999997294,0.0,12.280000000000001,-11.920000000000272,0.3699999999998006,-0.010000000000071174,0.07359642313005503,0.027951668975896505,156.96797221948614,1.1950000000002206,-0.06950000000005047,-0.2000000000000218,-0.7600000000001614,0.11193603655054254,1.8077282753016313,1.029126213592233,11.0,-3.0,3.0,-2.0,348,348,0,1238.0,1493,1308,0,0.2056262558606832,0.16584058941728064,0.8760884125920965,8.048850574712644,0.23458099709322602,0.117698401,0.9919224555735057,0.0002907915993535779,0.0,nan,2.700780072570327,0.0,8.0,4815.0,18.5,0.0,1.2857142857142858,,
