env,group,impact,bin,q_lo,q_hi,n,mean_q,mean_impact,se
informed,informed,I_0,9,50,10000,70,61.41428571428571,2.5785714285714287,0.3111262809249899
informed,informed,I_0.1s,0,1,2,6865,1.0,0.3449380917698471,0.015904803534276653
informed,informed,I_0.1s,1,2,3,7315,2.0,0.403485987696514,0.015974575013320263
informed,informed,I_0.1s,2,3,4,7060,3.0,0.4471671388101983,0.016641578707421664
informed,informed,I_0.1s,3,4,6,10788,4.451334816462737,0.5450500556173526,0.014297105436333158
informed,informed,I_0.1s,4,6,9,9729,6.850344331380409,0.6286360365916333,0.015367637512457883
informed,informed,I_0.1s,5,9,14,6971,10.621288193946349,0.7930712953665184,0.019833818228727974
informed,informed,I_0.1s,6,14,21,3317,16.302984624660837,1.0907446487790171,0.03241782637001559
informed,informed,I_0.1s,7,21,32,1352,24.583579881656803,1.3472633136094674,0.053005818997875306
informed,informed,I_0.1s,8,32,50,367,37.79564032697548,2.068119891008174,0.13768435786924021
informed,informed,I_0.1s,9,50,10000,70,61.41428571428571,2.5285714285714285,0.43832772594860686
informed,informed,I_1s,0,1,2,6845,1.0,1.9096420745069393,0.03940542997426295
informed,informed,I_1s,1,2,3,7287,2.0,1.8576917798819816,0.03738734757394644
informed,informed,I_1s,2,3,4,7048,3.0,1.9807746878547106,0.038723774642568605
informed,informed,I_1s,3,4,6,10768,4.451244427934621,2.034268202080238,0.032210703686578836
informed,informed,I_1s,4,6,9,9707,6.850417224683218,2.1334603894097044,0.03454711561717933
informed,informed,I_1s,5,9,14,6952,10.62126006904488,2.134349827387802,0.03975731697381088
informed,informed,I_1s,6,14,21,3312,16.304045893719806,2.389945652173913,0.06198638053316465
informed,informed,I_1s,7,21,32,1348,24.58086053412463,2.56973293768546,0.0974339390475763
informed,informed,I_1s,8,32,50,367,37.79564032697548,3.2247956403269753,0.19475531610836697
informed,informed,I_1s,9,50,10000,70,61.41428571428571,4.071428571428571,0.5414724552782653
informed,informed,I_5s,0,1,2,6743,1.0,4.178703841020317,0.08052606518747096
informed,informed,I_5s,1,2,3,7214,2.0,4.012752980316052,0.07803547128983297
informed,informed,I_5s,2,3,4,6946,3.0,4.282392744025338,0.07928406625238535
informed,informed,I_5s,3,4,6,10617,4.451539983046058,4.185881134030328,0.06541664829119012
informed,informed,I_5s,4,6,9,9592,6.849249374478732,4.175823603002502,0.06763333492999175
informed,informed,I_5s,5,9,14,6867,10.623853211009175,4.184214358526285,0.0803501404184448
informed,informed,I_5s,6,14,21,3263,16.303095311063437,4.229083665338646,0.12131756197310525
informed,informed,I_5s,7,21,32,1330,24.568421052631578,4.300375939849624,0.18100752225130104
informed,informed,I_5s,8,32,50,365,37.75616438356165,4.758904109589041,0.3537460953226807
informed,informed,I_5s,9,50,10000,70,61.41428571428571,4.5,0.7333874438911147
informed,informed,slippage,0,1,2,6866,1.0,1.1264928633847946,0.010773208739010373
informed,informed,slippage,1,2,3,7318,2.0,1.1811970483738727,0.010912486702087902
informed,informed,slippage,2,3,4,7063,3.0,1.2307565246118324,0.01178921691468814
informed,informed,slippage,3,4,6,10791,4.451209341117598,1.3165739968492294,0.010308657403676135
informed,informed,slippage,4,6,9,9734,6.850421204027121,1.4282772950972078,0.011478331208478217
informed,informed,slippage,5,9,14,6971,10.621288193946349,1.6307401670835884,0.015438650861205874
informed,informed,slippage,6,14,21,3317,16.302984624660837,1.911567642675706,0.025885928857149375
informed,informed,slippage,7,21,32,1352,24.583579881656803,2.195686684766428,0.04321124406112292
informed,informed,slippage,8,32,50,367,37.79564032697548,2.87450793585821,0.09340479901604215
informed,informed,slippage,9,50,10000,70,61.41428571428571,3.786934331877118,0.3599870676023571
