half_spread_ticks,quote_size,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
1.5,5,12,1.859166666666539,3.874999999997158,8.732983930667821,-3.002833333332553,6.408145833331413,29.808750000000003,30.4325,3.0589979977110158,28.067958333333333,31.429812499999997,-27.949583333333468,-27.03249999999948,9.833769613458538,-33.237364583335015,-22.627145833334556,0.03180822458049768,0.03630109787001478,0.09183173880820346,-0.018220119979726314,0.0808801971827556,10.528333333333398,10.047499999999673,4.914887094482112,7.919625000000499,13.199604166666418,0.3628114210813059,0.3640377293931401,0.01837900258545376,0.35301186890685105,0.3728822294053918,0.9557133824280379,0.9111328946261879,0.13938291411279416,0.8858717342850482,1.0321302795904013,566.5833333333334,570.0,53.29925521112473,537.2479166666667,596.4270833333333,27.114827686070086,28.35099913119027,3.551933318363218,25.149589125398204,28.993748189979723,50.0,50.0,0.0,50.0,50.0,0.8856430244092279,0.873217663264596,0.17218318247294293,0.798330361786034,0.973205084744997,0.17371430564156146,0.17151936246585464,0.011437521939523887,0.16779448487496745,0.18043557235199886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,10,12,1.3004166666678145,5.422499999999445,8.399189478843125,-3.1753333333319778,5.544677083334454,37.699999999999996,37.977500000000006,3.6951706812590355,35.712041666666664,39.73500000000001,-36.39958333333218,-34.67499999999667,8.285040587580978,-41.045177083332675,-32.14714583333439,0.012735952545661197,0.056934440108388336,0.0753097676107856,-0.026733185834636564,0.05064966629899288,11.51458333333297,10.695000000000846,3.1841892491228814,9.977614583333743,13.260520833331679,0.34505178378332824,0.3436177605291709,0.014486666230736434,0.33723093565422685,0.35252253276649725,0.8585069964424178,0.8569967283958733,0.1398599501867459,0.7837578511828784,0.9318349088413592,531.0,524.5,49.59838707054898,503.82291666666663,558.1666666666666,27.78866203301477,28.75238922675934,2.924191969341971,26.12781458152332,29.29679445409789,50.0,50.0,0.0,50.0,50.0,0.940175850359859,0.9456630683583384,0.11586577863441792,0.8769045477386828,0.9982282941138552,0.19618962367657314,0.1963425102956803,0.00846600619741193,0.19152449598367882,0.2006887018698138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,12,3.113749999998962,2.719999999997981,4.037431747242018,0.9305312499985567,5.269333333332332,8.400833333333335,8.1425,0.657916246857294,8.075135416666667,8.773458333333336,-5.287083333334372,-5.727500000003447,4.110758312223697,-7.475583333334572,-3.102291666668,0.0801458841475818,0.0392601663925521,0.09280138659638777,0.030196584652010423,0.1328483185653067,5.512500000000268,4.445000000000164,5.6197409759143495,3.2070104166667197,8.923187500000724,0.2649074836991477,0.260837128442619,0.012678861348420502,0.25847586677759565,0.27193615449143876,1.2384348886894243,1.262757731958763,0.15573837129848617,1.1524901771744969,1.314184656363846,403.75,392.0,32.93278278278624,386.99375,422.67291666666665,12.225311323486823,11.195482189400522,6.738893511975844,9.27613850275123,16.24635280915146,28.583333333333332,31.0,11.040901917484602,22.74791666666667,34.5,0.4728254101435128,0.44308199698223055,0.23678525911857343,0.35658139472267375,0.6099811352724952,0.14965329315226722,0.14926388754550252,0.00657626347851308,0.1459783554800287,0.15335863516239912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2,12,3.893333333332388,7.137499999999591,8.556266532179878,-1.0315625000011241,8.021645833331906,14.996666666666668,15.0375,1.5762892750976514,14.087020833333334,15.83003125,-11.103333333334279,-9.322500000000103,8.846573639071684,-15.899677083334817,-6.508489583334107,0.08665644985141957,0.07396417949535156,0.14035592662643373,0.016637730540461894,0.16905392827764865,9.35833333333341,7.604999999998654,6.750439828543804,5.933437500000208,13.1063541666668,0.2592215144062599,0.25882276090186007,0.013597277551069773,0.25151168113323824,0.26673916416566495,1.175378957819091,1.171136310971012,0.12326250721058539,1.1090463625006615,1.240482180844696,398.5,402.0,38.03706326490232,376.32916666666665,418.5854166666667,19.525412684622065,18.495221546481318,6.414333861436798,15.954257167680279,22.971535621198953,42.916666666666664,47.0,9.209267400863439,37.25,47.418749999999996,0.7555556418975252,0.7244854359018035,0.28361048501157665,0.6068976995322001,0.9134123996027212,0.15392358004711884,0.15150411346319692,0.008601545032049844,0.14966337456653625,0.15901884086639018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5,12,8.06249999999981,8.037500000000023,7.34792595969038,4.389489583333828,11.999249999999115,25.637083333333337,25.785000000000004,2.9430190577436672,23.924427083333335,27.115416666666665,-17.574583333333525,-17.747500000000407,9.002658813911586,-22.283666666667234,-12.602666666667258,0.0939696530822675,0.07997415694058026,0.09040390650154494,0.04704765700452634,0.14217382505205106,9.58375000000035,9.36000000000081,4.910409224290468,7.16936458333349,12.33330208333329,0.2422361319791633,0.23917736320250577,0.017440008665012618,0.2325238332503134,0.25116966593396456,1.1865820604261932,1.11392226294989,0.24705713553397124,1.0724620703632957,1.3263353728346055,362.75,350.0,42.836104143372076,338.83124999999995,385.50416666666666,23.221039675644366,21.913119026933103,5.111155499737178,20.4155372140168,25.872675933970463,49.75,50.0,0.8660254037844386,49.25,50.0,0.866215598539124,0.8830247908597484,0.1790463493657465,0.7590395714143398,0.953458072976742,0.17368753996558986,0.17058944058443132,0.008367995225462395,0.16960301605601316,0.178657393323104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10,12,7.172500000000455,9.627499999996644,6.706542429870204,3.4038437499984657,10.465802083334028,33.87333333333334,33.445,3.202191247861188,32.062197916666676,35.74781250000001,-26.70083333333288,-26.02750000000384,6.6338580004180026,-30.46104166666676,-23.24383333333329,0.078361415601977,0.09291240808785894,0.06948464956630579,0.03971053993039171,0.11443617567963221,9.060833333333411,7.942500000000109,4.040262048957935,7.013562499999517,11.39852083333411,0.2280033615629771,0.22417452307104374,0.01382610973991861,0.220616753011678,0.235557424871853,1.0483200712581437,1.043891804406169,0.10476492723404272,0.9903711383004596,1.0986888968198836,341.0,335.5,34.53325143315431,321.9916666666667,360.6770833333333,25.63582392122792,25.973935708079928,2.384532696196839,24.38558137851144,26.871550101361137,50.0,50.0,0.0,50.0,50.0,0.9069551375558632,0.8866404044798991,0.19885583684969924,0.8030028905605102,1.0237275691513463,0.1865207333944974,0.18525694976652543,0.009867641092790244,0.18133377479178128,0.19232082174518028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,12,2.9887499999994525,3.4949999999993793,2.7485104436935175,1.5023437499992736,4.250083333332337,6.675,7.025,1.1702233664017851,5.981666666666668,7.255489583333333,-3.686250000000548,-3.0500000000010097,3.0791919874305878,-5.397770833333957,-2.0717187500003065,0.12256312173888195,0.11001334619177669,0.10291298164858691,0.06731988161795088,0.17985147995813852,3.100000000000217,2.635000000000616,2.2577633743476593,1.9695208333335303,4.43794791666692,0.16828532465099685,0.17541219106075942,0.020386126028402285,0.1564344079601994,0.17844358120208664,1.428731377039546,1.4192024777390633,0.25014721986610317,1.3024389341315064,1.5679064893637966,225.41666666666666,235.0,38.15627753268806,202.6625,244.41875,7.86359687228497,7.671589921807124,2.985324731887153,6.202870692151753,9.43359759629308,18.416666666666668,17.5,5.86915408700178,15.164583333333333,21.666666666666668,0.3121843528209682,0.28228357831454365,0.14085784891495007,0.23450068226443774,0.3899649688225702,0.17151049917369754,0.16983161592769308,0.0109282213737422,0.1662103305454968,0.17812531456505548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2,12,7.724166666666228,7.809999999997842,4.665953002789633,5.1829895833328665,10.529343749999171,12.008750000000001,12.2225,2.0934976442221367,10.837552083333334,13.119552083333332,-4.284583333333772,-5.060000000001774,4.375404115535604,-6.4647083333331725,-1.5911666666667257,0.12150954796762005,0.10319756192807547,0.08461674367998939,0.07834920075746184,0.17059571427947,5.579583333333109,5.399999999999977,3.0730274222459304,3.979687499999769,7.35543749999951,0.16187233440357665,0.16296108995393843,0.019689597884265816,0.15040695637011836,0.17207416367082334,1.5014191893030775,1.4668039008613576,0.21052810572014602,1.3895205359703888,1.6161572576932854,219.75,220.5,36.910518333347255,198.83333333333334,239.3375,15.515928178395598,14.318853171155517,5.705810533926359,12.507169490298294,18.570138285548804,35.75,34.0,8.04673846971554,31.414583333333333,40.416666666666664,0.6161106303216727,0.5390881691744482,0.22582824436396634,0.4970503050969184,0.746437171154787,0.17380274872665744,0.17021147301718534,0.01104251539533963,0.1680497558140511,0.1799417554928475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5,12,11.727499999999639,11.554999999999154,7.202601644861108,7.930906249999307,15.745677083333478,21.249166666666664,20.4525,3.299972336890481,19.416145833333335,22.990291666666664,-9.521666666667029,-10.207500000000847,6.595464465461113,-12.937104166667112,-5.726135416666618,0.13439708505546644,0.10635132598967967,0.0989865223343386,0.08147683964852717,0.19031235460534424,9.624583333333987,9.9325000000008,4.970810917168948,7.076989583333845,12.468666666667565,0.14954633545697552,0.1473010428153833,0.013680762489322684,0.14228858576210035,0.15697804285337372,1.425945589120733,1.3005270202442696,0.3335157362254885,1.2551190196838964,1.610901312327096,202.83333333333334,200.5,29.556827647872847,186.40625,219.0875,23.028670721112075,23.18201563857515,6.289994754231814,19.793974442513758,26.309265493773527,48.666666666666664,50.0,2.8391206491810212,46.916666666666664,50.0,0.8821857448738384,0.8930738781747862,0.2515096313570957,0.7468704971657173,1.0153628844063,0.17906026212817397,0.17652172955505485,0.012471458303618331,0.17272412600411893,0.1863249607482167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10,12,11.518333333333851,11.972500000000991,9.856679169093994,6.283312499999839,16.81056250000127,28.182916666666667,29.622500000000002,3.948416517089381,25.948270833333332,30.188197916666667,-16.664583333332814,-16.26499999999839,10.602034422767206,-22.473604166666625,-11.161604166664972,0.1369064647824505,0.109016067258836,0.13197834900815678,0.06983815120274266,0.20851126244489862,8.912083333332944,8.275000000000091,4.250409316296422,6.801822916666162,11.165572916666074,0.1418898865572809,0.14200440085377883,0.015659566048778363,0.1333105411375487,0.1503022036446392,1.5328703160536825,1.4183733678761579,0.45703679050311824,1.3325062812308528,1.8081594465677682,194.66666666666666,198.5,24.507265465695284,181.16458333333333,207.50208333333333,23.47169128294237,23.410947002606427,6.1905139559365745,20.128080654503332,26.714264769765418,49.333333333333336,50.0,2.3094010767585034,48.0,50.0,0.9277783953950846,0.9350426694200158,0.27944663424384636,0.7841199697587782,1.0738301859069685,0.18266245557712094,0.18094265538417426,0.007844112751385397,0.1785815935284182,0.18719514617177432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
