env,variant,horizon_s,corr,corr_lo,corr_hi,spearman,spearman_lo,spearman_hi,slope,slope_lo,slope_hi,dir_acc_excess,dir_acc_excess_lo,dir_acc_excess_hi,corr_backward,corr_backward_lo,corr_backward_hi,corr_shuffled,corr_shuffled_lo,corr_shuffled_hi,frac_moved,frac_moved_lo,frac_moved_hi,n_samples_per_session
noise,L1_spread1,5.0,0.09370249563242812,0.07837759296879392,0.10868954401057607,0.10109139410253364,0.08475166165710675,0.11648736142909721,0.7213499838789973,0.6074379846658027,0.8297902346357089,0.04225059673488596,0.03417073517013119,0.05051133307634539,-0.058575448349211606,-0.07328750254026926,-0.045174245784169106,0.0006160525994173453,-0.0014616916696162119,0.0026197856534535403,0.8994731414494531,0.8911825057704188,0.9071234895156538,19830.375
informed,L1,0.01,0.09386075452790109,0.09079109520936887,0.09661708412766902,0.11386629555208923,0.11139129933452654,0.11615036644073416,0.0748114725264656,0.07184800328764102,0.07733585835487447,0.12373519844924617,0.1201610679318709,0.12708446993859684,-0.055889251036365405,-0.0583840480171585,-0.05329336346231881,-0.0004432534838762514,-0.0032058543769278892,0.0024359162706395153,0.15484702427065447,0.15279113116255705,0.15684043540164594,29168.541666666668
informed,L1,0.05,0.1634281875987051,0.15835877028367185,0.16865668769077102,0.2010399127357135,0.19679188136946732,0.20497179055366652,0.2838051945993292,0.2724330558018802,0.29489024512354395,0.12429327441377906,0.1213114186150424,0.12720942188418274,-0.09724771326339032,-0.10204597446541967,-0.09218911399775635,-0.0003602211600736717,-0.0022455603473201403,0.0016578936094876603,0.4683162192435797,0.46373603874313446,0.47292278778109426,29164.666666666668
informed,L1,0.1,0.18199159600231407,0.17533856048666896,0.18852227484825637,0.22457583823844787,0.2188956772031056,0.22977694232777496,0.43503515372270424,0.415863102865377,0.4530082000757757,0.12065902465259219,0.11766496777974081,0.1235518502107408,-0.10827856271124066,-0.11496058251071446,-0.10092623571789154,-0.0002398881093804726,-0.0027187229816409155,0.0022447062820289366,0.6139388155783351,0.6085294838026627,0.6192889692976239,29159.666666666668
informed,L1,0.5,0.14988077042944628,0.1422114446139315,0.15714687643140104,0.17514847517160873,0.1685713236435131,0.18134379419686958,0.7261139386497687,0.687027045264446,0.7609502368571468,0.07814403831951768,0.07459850334955051,0.08175388519434804,-0.08196615928861607,-0.08956604495846482,-0.0740291758522918,-0.00016655616646683085,-0.0026465036306311356,0.002371566463770963,0.8397960148190103,0.8352158684757186,0.8437582840140718,29119.666666666668
informed,L1,1.0,0.11002301991893282,0.09968392040077494,0.11931080235207744,0.121795835843631,0.11211169486102456,0.13075598649288728,0.722867843617808,0.6510290009849407,0.7870493091295094,0.05143264843009938,0.04633636393760145,0.05613443553547987,-0.05148164735988133,-0.05987808595615874,-0.04301685438472856,0.00224811482302529,-0.00041663219112112083,0.004833140274304039,0.90217504519216,0.8987739424033893,0.9051721516172363,29069.666666666668
informed,L1,5.0,0.050313531286205006,0.04074711003478609,0.060712381769832346,0.04994878482204502,0.040424086218715016,0.0606893219845195,0.6932592171411894,0.556120209846398,0.8414034755988923,0.019963212069287094,0.01551014164910913,0.02464091955618138,-0.017929708136138464,-0.029768870382791145,-0.006196428951113385,-0.0009889851971486958,-0.0038043243498437572,0.0016267951790702696,0.9676480524616538,0.9654062542811064,0.9698431068849713,28672.208333333332
informed,L5,0.01,0.03781701915435944,0.03581563682530356,0.0398612288164135,0.033492688174094946,0.031145144100271638,0.03577518816317743,0.04789667397032821,0.04520805744702029,0.05073793255248554,0.03704133020982738,0.03431804545513509,0.03976549133775533,0.06636139396246026,0.06378635813061957,0.06922740858320413,-0.0007466424537595971,-0.003113417449779163,0.0015934986600977614,0.15484702427065447,0.15279113116255705,0.15684043540164594,29168.541666666668
informed,L5,0.05,0.07846254363380363,0.07373881224740295,0.08322833668299946,0.0767172999324764,0.07242860726253147,0.08116421842348381,0.2161747324757509,0.20263249964485824,0.23014531859740606,0.04604378523697128,0.04311694814339808,0.049120917156647195,0.13711553686741204,0.13206680234604698,0.14283764734819182,-0.00013104189794811488,-0.001864936446800311,0.0015924007061230443,0.4683162192435797,0.46373603874313446,0.47292278778109426,29164.666666666668
informed,L5,0.1,0.10157063007380975,0.09409328436253765,0.10850561841877002,0.10265981083549615,0.09701425742637104,0.10878239795391818,0.3847558419020163,0.3571196578867506,0.41207540655600405,0.05223295137684176,0.049101305879715895,0.055669985784222414,0.17972899396340827,0.17276671575218533,0.1873618327582484,0.0002466836518461014,-0.0025691158422636784,0.0029955154649582917,0.6139388155783351,0.6085294838026627,0.6192889692976239,29159.666666666668
informed,L5,0.5,0.1376609019172942,0.12171429018283424,0.15350752352577895,0.1382613289690741,0.12583474915724446,0.15195810178162927,1.057826325176798,0.9335059214842784,1.1883316248474136,0.05450534544028915,0.049359880783110696,0.060145472233333344,0.29519446292697665,0.28433981201642783,0.3056038917117279,-0.0013088658478154587,-0.003703307315137427,0.0014253664279551945,0.8397960148190103,0.8352158684757186,0.8437582840140718,29119.666666666668
informed,L5,1.0,0.121754253547793,0.10467418960413945,0.13951237150284357,0.12332649193302388,0.10778157549934103,0.14083922656671752,1.2710515292099973,1.08502453548307,1.4790486475366853,0.0437501632903712,0.036210923644548,0.05139265880880133,0.3173938179919589,0.3020684603065035,0.3327054557877881,0.0005299562436644666,-0.0016997158472882132,0.002684665126020893,0.90217504519216,0.8987739424033893,0.9051721516172363,29069.666666666668
informed,L5,5.0,0.061080269644151676,0.042892981122890333,0.07995787652313405,0.06367090110039479,0.041148391711067905,0.08711785634014438,1.3803777930243644,0.9514867876824118,1.840626895014614,0.02583231552639062,0.014647358722103637,0.03729902301283334,0.2058150829260467,0.18737559021788391,0.22457788295209494,0.001926561293462631,-0.000519078129330266,0.004193748102051824,0.9676480524616538,0.9654062542811064,0.9698431068849713,28672.208333333332
informed,L1_spread1,0.01,0.1351668352862575,0.13095778573965372,0.13940002239364507,0.1765359414458607,0.17289060706610693,0.18040299066498125,0.06476065152565895,0.06253456103874017,0.06708972072502227,0.28081988471441427,0.27402366081260665,0.2883047891278785,-0.11445265699281439,-0.11811551743714223,-0.11076403628386469,0.0004841427707710473,-0.0032071290799931497,0.004252507623099942,0.07200707345877394,0.07080060446269207,0.07314217634511487,13087.708333333334
informed,L1_spread1,0.05,0.22836303621175313,0.2209859431914934,0.2358643948648913,0.3118466688807766,0.30583783420425514,0.318395586080893,0.25990027567503654,0.24986291388182083,0.2703017110719618,0.261606977611866,0.25591281164722923,0.2675274738512681,-0.1875179731157297,-0.19432494352874047,-0.1808362682639265,-0.0007633180717268707,-0.004368284237725767,0.0026668215152288394,0.2672917539628365,0.26341920629445326,0.27121579013522334,13085.541666666666
informed,L1_spread1,0.1,0.24901673464815413,0.23957427505638582,0.25813393910747356,0.3382844477647124,0.33051257525985134,0.346278621787939,0.41255054405547464,0.3957367961043175,0.42972045513987206,0.23278012051488703,0.2268465709141586,0.23858680224202494,-0.19376976272398413,-0.20293431898104566,-0.18478645271060531,-5.598147179097472e-05,-0.0028715463294823815,0.0026940679552222174,0.40942537821597574,0.4037388016696038,0.4150653295776348,13083.0
informed,L1_spread1,0.5,0.18100727386941742,0.1704734201352655,0.19178755444362902,0.22186675931577413,0.2109487218464538,0.2334144008227659,0.7214452247242202,0.679364274974342,0.7640564518806275,0.11134926053368888,0.10472557815735166,0.11855054820848528,-0.11516403340709135,-0.12717800396790865,-0.10392265608850139,0.002634526225552934,-0.0007522511967853185,0.00596844052397475,0.7556049428807317,0.7476526335193836,0.7621888256414029,13062.166666666666
informed,L1_spread1,1.0,0.121437447431683,0.10796566508799177,0.13509091872928078,0.13980600713781635,0.12422236308236213,0.1541473334877738,0.7035311703274719,0.6243333777888257,0.7843543616002919,0.0639285932778114,0.055580247211225405,0.07182419379091996,-0.07375187966831044,-0.08866801996549896,-0.059117597205009254,-0.0031654015440074706,-0.006143827469495291,-0.0001883290742682398,0.8623093902669181,0.8548473409464834,0.8682564990614577,13037.416666666666
informed,L1_spread1,5.0,0.04704583504480214,0.03348606501140578,0.06051478462679638,0.048487346301107015,0.035136820696705685,0.06172538877150893,0.6330548117116513,0.4472990649733688,0.8215065556201677,0.021822447531306965,0.015578676848650351,0.02822324976966735,-0.029769497095909536,-0.04515820542213185,-0.014516093039941093,3.934568979143847e-05,-0.003311699406723883,0.00323834892333246,0.9616687978823034,0.957979868925668,0.9651103769950331,12848.583333333334
