env,scope,group,horizon,metric,mean,ci_lo,ci_hi,sessions,mean_fills
noise,mm_by_inventory,extends_inventory,1s,M,-1.5658326429294636,-1.819151881038423,-1.3496143689759732,24,98.45833333333333
noise,mm_by_inventory,extends_inventory,1s,R,-0.015968649893725557,-0.2622481146629747,0.1893594259367119,24,98.45833333333333
noise,mm_by_inventory,extends_inventory,500ms,E,1.5493854555920847,1.5244380757804141,1.574203144204838,24,98.45833333333333
noise,mm_by_inventory,extends_inventory,500ms,M,-1.4478190299675868,-1.6538981013230682,-1.2755260036981808,24,98.45833333333333
noise,mm_by_inventory,extends_inventory,500ms,R,0.10246224144129872,-0.09352931011994264,0.2647318631148807,24,98.45833333333333
noise,mm_by_inventory,from_flat,100ms,E,1.4952254352447027,1.4556395551337387,1.5305638255979206,24,30.791666666666668
noise,mm_by_inventory,from_flat,100ms,M,-0.9543848201611751,-1.0462177820487755,-0.8598322134300312,24,30.791666666666668
noise,mm_by_inventory,from_flat,100ms,R,0.5408406150835275,0.45934603228639886,0.6237916001484486,24,30.791666666666668
noise,mm_by_inventory,from_flat,1s,E,1.4952254352447027,1.4556395551337387,1.5305638255979206,24,30.791666666666668
noise,mm_by_inventory,from_flat,1s,M,-1.087894727253279,-1.3169306062957489,-0.8668188008538661,24,30.791666666666668
noise,mm_by_inventory,from_flat,1s,R,0.4086803920914739,0.18233284823556367,0.626221273874366,24,30.791666666666668
noise,mm_by_inventory,from_flat,500ms,E,1.4952254352447027,1.4556395551337387,1.5305638255979206,24,30.791666666666668
noise,mm_by_inventory,from_flat,500ms,M,-1.1293552212643234,-1.3056043257348442,-0.9710762417930603,24,30.791666666666668
noise,mm_by_inventory,from_flat,500ms,R,0.3660758673336857,0.19701779055972438,0.5167651538492527,24,30.791666666666668
noise,mm_by_inventory,reduces_inventory,100ms,E,1.1356025903270475,1.1069335143033232,1.161261716888991,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,100ms,M,-0.5557158541605696,-0.5854359373649313,-0.5258704904337103,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,100ms,R,0.5798672683092437,0.5367636204026146,0.6166382079942822,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,1s,E,1.1356025903270475,1.1069335143033232,1.161261716888991,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,1s,M,-0.5386100594908106,-0.6067072315826499,-0.4668113755303968,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,1s,R,0.5959099341514129,0.5137281777424254,0.675442300842671,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,500ms,E,1.1356025903270475,1.1069335143033232,1.161261716888991,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,500ms,M,-0.5383214546330589,-0.6017620023607314,-0.4781454793010536,24,223.29166666666666
noise,mm_by_inventory,reduces_inventory,500ms,R,0.5969305637257473,0.5193650840401964,0.6654051423220755,24,223.29166666666666
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),100ms,E,1.4394112830950927,1.4182538237384033,1.4586164093320155,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),100ms,M,-0.9481418101946963,-1.0148331435267923,-0.8986052379646827,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),100ms,R,0.4912612652745844,0.4099407986227074,0.5494046378349817,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),1s,E,1.4394112830950927,1.4182538237384033,1.4586164093320155,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),1s,M,-1.1385028020594492,-1.235779632173358,-1.0417521925726496,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),1s,R,0.30069986783853997,0.19306774355691134,0.40369969797455807,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),500ms,E,1.4394112830950927,1.4182538237384033,1.4586164093320155,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),500ms,M,-1.078728778119893,-1.1698002765424382,-0.9993204332098734,24,124.83333333333333
noise,mm_by_obi,book_leans_against(s*OBI<=-.5),500ms,R,0.3605210074577087,0.2520797733507141,0.45379843258089725,24,124.83333333333333
noise,mm_by_obi,book_leans_with(s*OBI>=.5),100ms,E,1.0672217871934835,1.0424938585341748,1.0920734937631487,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),100ms,M,-0.5484086619499199,-0.6794538434402339,-0.43352461012628074,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),100ms,R,0.5188131252435636,0.39143510642626045,0.629123392699913,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),1s,E,1.0672217871934835,1.0424938585341748,1.0920734937631487,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),1s,M,-0.6294979906118888,-0.9757667221235989,-0.3701960029694644,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),1s,R,0.43634152887748384,0.09510207918488418,0.6862584936682848,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),500ms,E,1.0672217871934835,1.0424938585341748,1.0920734937631487,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),500ms,M,-0.5588927737536306,-0.8332296973543124,-0.3458280632420304,24,43.541666666666664
noise,mm_by_obi,book_leans_with(s*OBI>=.5),500ms,R,0.5083883286123014,0.23851687803267368,0.7125422450254504,24,43.541666666666664
noise,mm_by_obi,neutral,100ms,E,1.2326042820982062,1.211336574211422,1.2539315289037918,24,184.16666666666666
noise,mm_by_obi,neutral,100ms,M,-0.7059787041200659,-0.7558643748122661,-0.6587900042850771,24,184.16666666666666
noise,mm_by_obi,neutral,100ms,R,0.52662557797814,0.46820522829042155,0.5822599419544064,24,184.16666666666666
noise,mm_by_obi,neutral,1s,E,1.2326042820982062,1.211336574211422,1.2539315289037918,24,184.16666666666666
noise,mm_by_obi,neutral,1s,M,-0.7447848477837056,-0.8009299782157298,-0.6825205116606878,24,184.16666666666666
noise,mm_by_obi,neutral,1s,R,0.48730847047318093,0.425847105145069,0.5555832062804039,24,184.16666666666666
noise,mm_by_obi,neutral,500ms,E,1.2326042820982062,1.211336574211422,1.2539315289037918,24,184.16666666666666
noise,mm_by_obi,neutral,500ms,M,-0.7483886637114857,-0.8010901094606734,-0.6956209371044809,24,184.16666666666666
noise,mm_by_obi,neutral,500ms,R,0.48407513152465625,0.4231139396461977,0.5426174548165441,24,184.16666666666666
noise,mm_by_taker,taker_informed,100ms,E,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,100ms,M,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,100ms,R,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,1s,E,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,1s,M,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,1s,R,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,500ms,E,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,500ms,M,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_informed,500ms,R,nan,nan,nan,0,0.0
noise,mm_by_taker,taker_noise,100ms,E,1.2821935906956543,1.2648496622703256,1.297309805384782,24,352.5416666666667
noise,mm_by_taker,taker_noise,100ms,M,-0.7708012454174291,-0.8149074990371282,-0.7348666024179316,24,352.5416666666667
noise,mm_by_taker,taker_noise,100ms,R,0.5113848141873903,0.4529464995341035,0.557104200532813,24,352.5416666666667
noise,mm_by_taker,taker_noise,1s,E,1.2821935906956543,1.2648496622703256,1.297309805384782,24,352.5416666666667
noise,mm_by_taker,taker_noise,1s,M,-0.8642345792012273,-0.9381871412800853,-0.8035974554954511,24,352.5416666666667
noise,mm_by_taker,taker_noise,1s,R,0.41727071950730404,0.32880899885100373,0.48580365475012005,24,352.5416666666667
noise,mm_by_taker,taker_noise,500ms,E,1.2821935906956543,1.2648496622703256,1.297309805384782,24,352.5416666666667
noise,mm_by_taker,taker_noise,500ms,M,-0.8372886169966643,-0.9054112282092609,-0.7850258337487999,24,352.5416666666667
noise,mm_by_taker,taker_noise,500ms,R,0.4446928839421029,0.36256808020889475,0.5034212797828558,24,352.5416666666667
informed,mm_profile,all,-,E,1.7260723973752963,1.7114293904948912,1.7424586941821651,24,628.9583333333334
informed,mm_profile,all,10ms,M,-1.348544604337838,-1.416850306373275,-1.2796421190290972,24,628.9583333333334
informed,mm_profile,all,10ms,R,0.37752779303745854,0.3012077437394158,0.45427657876100946,24,628.9583333333334
informed,mm_profile,all,50ms,M,-1.4258515777991079,-1.4980599177276697,-1.3565144295858989,24,628.9583333333334
informed,mm_profile,all,50ms,R,0.3001819761792863,0.2204346732825477,0.3803370726358583,24,628.9583333333334
informed,mm_profile,all,100ms,M,-1.4914581186241758,-1.574158598033591,-1.4107687377679134,24,628.9583333333334
informed,mm_profile,all,100ms,R,0.23446554600797662,0.14668834106646111,0.32427722436890766,24,628.9583333333334
informed,mm_profile,all,500ms,M,-1.634544711373728,-1.73113305389797,-1.5363188914388382,24,628.9583333333334
informed,mm_profile,all,500ms,R,0.09077923702494313,-0.012963336702726005,0.19921801230409847,24,628.9583333333334
informed,mm_profile,all,1s,M,-1.643031790756801,-1.726964935027434,-1.556242004270199,24,628.9583333333334
